min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,5.0
0.1326,0.4045,0.29597490842490853,0.3225,0.0750191751175171,0.1363125,0.3849875,0.143575,0.376575,2004.0,152.0,6.0
0.1326,0.3958,0.2819750915750915,0.30610000000000004,0.07548339365636335,0.13521249999999999,0.3761875,0.139925,0.36815000000000003,2004.0,152.0,7.0
0.1326,0.3936,0.271219597069597,0.2898,0.07472135050141142,0.13475,0.37448750000000003,0.138525,0.3631,2004.0,152.0,8.0
0.1326,0.396,0.26351263736263714,0.2793,0.07375564917318643,0.1344875,0.370875,0.13785,0.360275,2004.0,152.0,9.0
0.1326,0.399,0.2585369963369965,0.2725,0.0730959260737295,0.13438750000000002,0.368625,0.13729999999999998,0.3584,2004.0,152.0,10.0
0.1326,0.4016,0.25577326007326023,0.26815,0.07280607910898637,0.1342625,0.368625,0.1369,0.3577,2004.0,152.0,11.0
0.1326,0.403,0.25466886446886405,0.2666,0.0727237229027547,0.1342625,0.368775,0.13685,0.35785,2004.0,152.0,12.0
0.1326,0.4026,0.25498113553113533,0.2669,0.07274164179353046,0.1342625,0.3685375,0.13685,0.35785,2004.0,152.0,13.0
